2017-04-07 09:01:44.950 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:01:46.310 INFO  com.html.service.Tess4jCode - 识别图片的结果：[VDAc]
2017-04-07 09:01:46.463 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[VDAc],JSESSIONID的值:[2DF9A3B9CC4FB69DE4127B3547109775]
2017-04-07 09:01:52.140 INFO  com.html.service.HtmlService - JSESSIONID--->CCD2475F77DC2A5BCCAB60F862B52C45
2017-04-07 09:01:52.606 INFO  com.html.service.HtmlService - action--->login;jsessionid=CCD2475F77DC2A5BCCAB60F862B52C45
2017-04-07 09:01:52.615 INFO  com.html.service.HtmlService - lt--->_c13E99FA5-9F09-F43E-4824-C16695BD2DE2_k6C02B74F-B62E-1C80-E0C0-FC1A3A8EDB3C
2017-04-07 09:01:52.615 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:01:52.626 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:01:52.630 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:01:54.030 INFO  com.html.service.Tess4jCode - 识别图片的结果：[RLFK]
2017-04-07 09:01:54.179 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[RLFK],JSESSIONID的值:[CCD2475F77DC2A5BCCAB60F862B52C45]
2017-04-07 09:02:02.935 INFO  com.html.service.HtmlService - JSESSIONID--->241ACF2D205A18CE7059C867DDE22BB3
2017-04-07 09:02:03.387 INFO  com.html.service.HtmlService - action--->login;jsessionid=241ACF2D205A18CE7059C867DDE22BB3
2017-04-07 09:02:03.401 INFO  com.html.service.HtmlService - lt--->_cC39ECD15-B34C-7522-B91C-316F300838F4_kE180F7D7-45A0-3AC4-139D-EC081202F9E0
2017-04-07 09:02:03.402 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:02:03.413 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:02:03.418 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:02:04.658 INFO  com.html.service.Tess4jCode - 识别图片的结果：[SLBJ]
2017-04-07 09:02:04.796 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[SLBJ],JSESSIONID的值:[241ACF2D205A18CE7059C867DDE22BB3]
2017-04-07 09:02:09.905 INFO  com.html.service.HtmlService - JSESSIONID--->23B55C15123B2E560B495651CEF88CE4
2017-04-07 09:02:10.349 INFO  com.html.service.HtmlService - action--->login;jsessionid=23B55C15123B2E560B495651CEF88CE4
2017-04-07 09:02:10.363 INFO  com.html.service.HtmlService - lt--->_cE6A4352A-0E89-E8F0-5937-6FBF0A093437_k2F9E4837-DA7A-3C2B-4658-243A648FFCBC
2017-04-07 09:02:10.364 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:02:10.375 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:02:10.379 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:02:11.794 INFO  com.html.service.Tess4jCode - 识别图片的结果：[MXJ7]
2017-04-07 09:02:11.954 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[MXJ7],JSESSIONID的值:[23B55C15123B2E560B495651CEF88CE4]
2017-04-07 09:02:21.272 INFO  com.html.service.HtmlService - JSESSIONID--->9758485D3E3C12B387B4EF6710CB9885
2017-04-07 09:02:21.729 INFO  com.html.service.HtmlService - action--->login;jsessionid=9758485D3E3C12B387B4EF6710CB9885
2017-04-07 09:02:21.811 INFO  com.html.service.HtmlService - lt--->_c10ACAC8D-514B-562B-D5C2-8B10987B7E62_k69DB0344-A431-E1DD-63D3-922C700D184F
2017-04-07 09:02:21.812 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:02:21.832 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:02:21.836 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:02:23.045 INFO  com.html.service.Tess4jCode - 识别图片的结果：[4CUD]
2017-04-07 09:02:23.188 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[4CUD],JSESSIONID的值:[9758485D3E3C12B387B4EF6710CB9885]
2017-04-07 09:02:29.265 INFO  com.html.service.HtmlService - JSESSIONID--->F7EF3C3E8749A74AA69E9497BA51DA6B
